instance,N,Lee & Lee ,Bian & Jin,G-CREM,E-CREM
R011606_0070,_001,10832.2,9672.6,6108,4882.8
R011606_0070,_002,10840.2,10406.6,6141.6,4968.0
R011606_0070,_003,10326.2,9913.2,6124.8,4922.4
R011606_0070,_004,13823.2,13270.3,6775.2,5308.8
R011606_0070,_005,11405.8,10926.8,6292.8,5016.0
R011608_0090,_001,16772.6,16034.6,8908.8,6898.8
R011608_0090,_002,16883.4,16208.1,8836.8,6852.0
R011608_0090,_003,18856.8,18102.5,9163.2,7068.0
R011608_0090,_004,15921.8,15284.9,8904,6946.8
R011608_0090,_005,16281,15629.8,8959.2,6886.8
R021606_0140,_001,21771.4,20857,17800.5,14050.5
R021606_0140,_002,21435.4,20535.1,16543.5,13805.4
R021606_0140,_003,23207.6,22232.9,17878.2,14300.7
R021606_0140,_004,22347.5,21408.9,19123.8,15454.0
R021606_0140,_005,20985.9,20335.3,18186.3,14471.1
R021608_0190,_001,38101.6,36627.1,28144.2,23599.1
R021608_0190,_002,33511.4,32214.5,27601.8,21516.8
R021608_0190,_003,34560,33222.5,28386.6,23177.0
R021608_0190,_004,32762.2,31494.3,26508,21039.0
R021608_0190,_005,31794.8,30564.3,27366.6,23218.4
R041606_0280,_001,49074.6,44119.5,46612.1,38769.1
R041606_0280,_002,45447.2,43720.2,43707.4,36478.0
R041606_0280,_003,45172.1,43455.6,42739.2,35739.2
R041606_0280,_004,44080.8,42449.8,43610.7,36624.8
R041606_0280,_005,44543.4,42850.8,45128.6,35529.4
R041608_0380,_001,77778.2,74768.2,63289.2,57873.8
R041608_0380,_002,77053.5,74071.5,65932.7,59494.6
R041608_0380,_003,67634.9,64929.5,63701.3,56926.4
R041608_0380,_004,72932.9,69913.5,65207.7,57387.9
R041608_0380,_005,74493.3,71409.3,65905.2,58019.1
R061606_0430,_001,78282.4,66462,73957.5,65163.2
R061606_0430,_002,74011.5,71199.1,73305.9,64128.4
R061606_0430,_003,73558.6,70763.4,72737.1,63212.6
R061606_0430,_004,74038.2,71224.7,71663.6,63252.7
R061606_0430,_005,74534.4,71553,73963.5,64752.0
R061608_0570,_001,115924.8,111125.5,103023.5,95599.7
R061608_0570,_002,129593.1,124227.9,106589.7,99035.8
R061608_0570,_003,115781.4,111150.1,104410.5,94991.9
R061608_0570,_004,122614.2,117832.2,103616.5,97493.4
R061608_0570,_005,129150.6,124113.7,105143.9,96121.6
R081606_0570,_001,103128.6,99003.5,101489.1,88874.5
R081606_0570,_002,103810,99657.6,103592.2,89787.3
R081606_0570,_003,107515.7,102785,105337.3,93742.9
R081606_0570,_004,105297,100663.9,103521.9,91662.3
R081606_0570,_005,105022,100401,102534.5,90618.8
R101606_0720,_001,136583.8,14798.06,135629,120435.6
R101606_0720,_002,133327.2,127460.8,132194.9,118002.9
R101606_0720,_003,140933,134731.9,136182.8,121028.3
R101606_0720,_004,137210.8,131173.5,133441.9,119773.1
R101606_0720,_005,135527.6,129564.4,133120.5,119416.4
U011606_0070,_001,11341.4,,7140,5331.6
U011606_0070,_002,11737,,7432.8,5534.4
U011608_0090,_001,15715.4,,9924,7281.6
U011608_0090,_002,16235.8,,9986.4,7521.6
U021606_0140,_001,23682.9,,20535.3,15623.8
U021606_0140,_002,24281.4,,21941.7,15455.4
U021608_0190,_001,35229,,30053.7,22878.2
U021608_0190,_002,37676.2,,30474.6,23237.3
U041606_0280,_001,49994.6,,53302.9,41753.8
U041606_0280,_002,50089.3,,51788.7,41600.8
U041608_0380,_001,79304.5,,75097.4,60706.2
U041608_0380,_002,72920.3,,74545.5,61815.6
U061606_0430,_001,81699.5,,88126.2,72149.3
U061606_0430,_002,82088.4,,87073.8,74226.0
U061608_0570,_001,121948.1,,120876.2,103867.0
U061608_0570,_002,123134.9,,121811.8,103273.0
U081606_0570,_001,115056,,122067.2,107678.5
U081606_0570,_002,112354.8,,121467.3,104065.0
U101606_0720,_001,155094.5,,161110,141700.0
U101606_0720,_002,151106.6,,159565.8,140332.9
