instance,N,Lee & Lee ,Bian & Jin,G-CREM,E-CREM
R011606_0070,_001,4503.06,1.9,0.19,2.20544
R011606_0070,_002,7915.02,3.14,0.17,2.10939
R011606_0070,_003,3929.94,1.56,0.22,2.07518
R011606_0070,_004,6447.44,2.56,0.48,2.7329
R011606_0070,_005,6505.69,1.88,0.14,2.14637
R011608_0090,_001,9477.62,5.82,0.53,4.15295
R011608_0090,_002,7953.31,4.88,2.23,3.9069
R011608_0090,_003,15416.52,9.47,0.58,4.05103
R011608_0090,_004,5030.27,3.09,0.61,4.00654
R011608_0090,_005,9812.86,6.03,0.82,4.03858
R021606_0140,_001,15414.21,8.3,1.25,6.62472
R021606_0140,_002,15415.75,7.88,1.06,5.83514
R021606_0140,_003,15415.36,7.94,1.08,6.69055
R021606_0140,_004,15404.23,11.06,2.31,7.58094
R021606_0140,_005,15420.28,8.99,0.62,6.58683
R021608_0190,_001,15394.86,8.98,4.45,15.2355
R021608_0190,_002,15377.03,8.97,8.7,13.8634
R021608_0190,_003,15385.61,8.98,11.12,14.0139
R021608_0190,_004,15356.14,9.43,2.87,12.5969
R021608_0190,_005,15371.06,9.44,3.51,14.5791
R041606_0280,_001,15352.84,144.87,26.4,24.3571
R041606_0280,_002,15374.94,157.29,14.21,21.5238
R041606_0280,_003,15368.2,149.42,15.4,20.0906
R041606_0280,_004,15388.95,141.89,6.78,22.205
R041606_0280,_005,15379.76,157.39,6.39,21.577
R041608_0380,_001,15221.82,169.13,48.18,49.1286
R041608_0380,_002,15041.93,146.24,48.31,50.1719
R041608_0380,_003,15192.46,111.48,44.45,42.1787
R041608_0380,_004,15227,111.03,33.77,45.3239
R041608_0380,_005,15142.06,149.97,45.62,48.8612
R061606_0430,_001,15323.71,157.94,30.24,49.5358
R061606_0430,_002,15286.93,166.68,31.6,46.5585
R061606_0430,_003,15238.75,166.16,18.48,48.0474
R061606_0430,_004,15254.43,176.21,28.59,47.4768
R061606_0430,_005,15177.6,165.49,24.89,47.7009
R061608_0570,_001,14753.74,155.07,154.03,93.8663
R061608_0570,_002,15112.09,158.83,359.09,106.52
R061608_0570,_003,14910.91,170.55,80.39,94.524
R061608_0570,_004,14939.86,157.03,168.06,104.153
R061608_0570,_005,14833.52,149.19,185.95,100.08
R081606_0570,_001,15202.71,172.2,35.37,78.0507
R081606_0570,_002,15025.46,163.83,50.69,76.2958
R081606_0570,_003,15160.29,160.79,60.31,84.8419
R081606_0570,_004,15083.55,164.46,56.1,81.6043
R081606_0570,_005,15245.72,166.23,54.43,78.2627
R101606_0720,_001,14824.2,238.13,120.38,117.979
R101606_0720,_002,14936.61,217.83,112,120.239
R101606_0720,_003,15067.14,219.73,129.03,116.544
R101606_0720,_004,14789.46,230.06,149.62,116.942
R101606_0720,_005,14828.16,279.03,118.89,120.155
U011606_0070,_001,12375.93,,0.05,2.62103
U011606_0070,_002,8031,,0.16,2.83221
U011608_0090,_001,15419.15,,0.17,4.08344
U011608_0090,_002,5729.5,,0.38,4.36408
U021606_0140,_001,15392.64,,0.67,8.13539
U021606_0140,_002,15384.19,,0.57,8.54104
U021608_0190,_001,15263.13,,1.14,14.5694
U021608_0190,_002,15266.9,,2.32,14.5307
U041606_0280,_001,15194.88,,5.07,27.6692
U041606_0280,_002,15265.09,,9.68,26.2584
U041608_0380,_001,15112.2,,22.94,50.3861
U041608_0380,_002,14731.17,,24.5,47.9783
U061606_0430,_001,14909.12,,22.64,55.2026
U061606_0430,_002,14990.47,,14.94,57.8881
U061608_0570,_001,14549.57,,92.99,104.582
U061608_0570,_002,14117.06,,68.04,107.594
U081606_0570,_001,14608.82,,50.28,100.809
U081606_0570,_002,14682.83,,51.41,95.5291
U101606_0720,_001,13943.75,,110.51,149.126
U101606_0720,_002,14231.17,,148.64,148.413
