instance,N,Lee & Lee ,Bian & Jin,G-CREM,E-CREM
R011606_0070,_001,118,107,107,107
R011606_0070,_002,117,110,108,108
R011606_0070,_003,110,104,108,108
R011606_0070,_004,158,108,117,118
R011606_0070,_005,124,112,110,110
R011608_0090,_001,190,143,153,155
R011608_0090,_002,191,139,152,152
R011608_0090,_003,216,142,156,156
R011608_0090,_004,178,143,151,153
R011608_0090,_005,182,143,153,153
R021606_0140,_001,228,208,210,210
R021606_0140,_002,224,197,199,201
R021606_0140,_003,247,223,215,215
R021606_0140,_004,235,219,226,226
R021606_0140,_005,217,210,210,210
R021608_0190,_001,423,305,317,327
R021608_0190,_002,359,309,320,322
R021608_0190,_003,373,311,319,319
R021608_0190,_004,351,303,308,311
R021608_0190,_005,333,310,314,320
R041606_0280,_001,502,439,452,450
R041606_0280,_002,450,423,428,428
R041606_0280,_003,450,419,424,423
R041606_0280,_004,430,426,427,426
R041606_0280,_005,439,431,432,431
R041608_0380,_001,830,602,617,635
R041608_0380,_002,804,617,630,646
R041608_0380,_003,684,603,615,623
R041608_0380,_004,755,614,623,634
R041608_0380,_005,773,617,627,644
R061606_0430,_001,756,660,661,665
R061606_0430,_002,695,670,654,655
R061606_0430,_003,698,656,657,658
R061606_0430,_004,699,648,650,652
R061606_0430,_005,701,660,663,663
R061608_0570,_001,1143,904,912,936
R061608_0570,_002,1353,897,939,962
R061608_0570,_003,1139,913,915,936
R061608_0570,_004,1242,910,916,947
R061608_0570,_005,1333,914,925,948
R081606_0570,_001,924,869,869,870
R081606_0570,_002,930,874,874,875
R081606_0570,_003,981,891,892,893
R081606_0570,_004,952,871,872,872
R081606_0570,_005,940,873,873,874
R101606_0720,_001,1163,1107,1107,1107
R101606_0720,_002,1132,1085,1085,1088
R101606_0720,_003,1225,1102,1103,1104
R101606_0720,_004,1168,1100,1085,1088
R101606_0720,_005,1158,1085,1085,1085
U011606_0070,_001,125,,125,125
U011606_0070,_002,130,,128,128
U011608_0090,_001,175,,166,166
U011608_0090,_002,180,,168,168
U021606_0140,_001,255,,249,249
U021606_0140,_002,259,,249,249
U021608_0190,_001,387,,348,348
U021608_0190,_002,414,,352,352
U041606_0280,_001,505,,498,497
U041606_0280,_002,510,,497,496
U041608_0380,_001,848,,699,699
U041608_0380,_002,752,,698,698
U061606_0430,_001,789,,765,764
U061606_0430,_002,797,,764,764
U061608_0570,_001,1230,,1048,1048
U061608_0570,_002,1238,,1045,1044
U081606_0570,_001,1059,,1014,1013
U081606_0570,_002,1029,,1014,1014
U101606_0720,_001,1368,,1282,1281
U101606_0720,_002,1322,,1281,1281
