instance,N,Lee & Lee ,Bian & Jin,G-CREM,E-CREM
R011606_0070,_001,91.80,90.40,57.08,45.63
R011606_0070,_002,92.65,94.61,56.87,46.00
R011606_0070,_003,93.87,95.32,56.71,45.58
R011606_0070,_004,87.49,122.87,57.91,44.99
R011606_0070,_005,91.98,97.56,57.21,45.60
R011608_0090,_001,88.28,112.13,58.23,44.51
R011608_0090,_002,88.39,116.61,58.14,45.08
R011608_0090,_003,87.30,127.48,58.74,45.31
R011608_0090,_004,89.45,106.89,58.97,45.40
R011608_0090,_005,89.46,109.30,58.56,45.01
R021606_0140,_001,95.49,100.27,84.76,66.91
R021606_0140,_002,95.69,104.24,83.13,68.68
R021606_0140,_003,93.96,99.70,83.15,66.52
R021606_0140,_004,95.10,97.76,84.62,68.38
R021606_0140,_005,96.71,96.83,86.60,68.91
R021608_0190,_001,90.07,120.09,88.78,72.17
R021608_0190,_002,93.35,104.25,86.26,66.82
R021608_0190,_003,92.65,106.82,88.99,72.66
R021608_0190,_004,93.34,103.94,86.06,67.65
R021608_0190,_005,95.48,98.59,87.15,72.56
R041606_0280,_001,97.76,100.50,103.12,86.15
R041606_0280,_002,100.99,103.36,102.12,85.23
R041606_0280,_003,100.38,103.71,100.80,84.49
R041606_0280,_004,102.51,99.65,102.13,85.97
R041606_0280,_005,101.47,99.42,104.46,82.43
R041608_0380,_001,93.71,124.20,102.58,91.14
R041608_0380,_002,95.84,120.05,104.66,92.10
R041608_0380,_003,98.88,107.68,103.58,91.37
R041608_0380,_004,96.60,113.87,104.67,90.52
R041608_0380,_005,96.37,115.74,105.11,90.09
R061606_0430,_001,103.55,100.70,111.89,97.99
R061606_0430,_002,106.49,106.27,112.09,97.91
R061606_0430,_003,105.38,107.87,110.71,96.07
R061606_0430,_004,105.92,109.91,110.25,97.01
R061606_0430,_005,106.33,108.41,111.56,97.67
R061608_0570,_001,101.42,122.93,112.96,102.14
R061608_0570,_002,95.78,138.49,113.51,102.95
R061608_0570,_003,101.65,121.74,114.11,101.49
R061608_0570,_004,98.72,129.49,113.12,102.95
R061608_0570,_005,96.89,135.79,113.67,101.39
R081606_0570,_001,111.61,113.93,116.79,102.15
R081606_0570,_002,111.62,114.02,118.53,102.61
R081606_0570,_003,109.60,115.36,118.09,104.98
R081606_0570,_004,110.61,115.57,118.72,105.12
R081606_0570,_005,111.73,115.01,117.45,103.68
R101606_0720,_001,117.44,13.37,122.52,108.79
R101606_0720,_002,117.78,117.48,121.84,108.46
R101606_0720,_003,115.05,122.26,123.47,109.63
R101606_0720,_004,117.48,119.25,122.99,110.09
R101606_0720,_005,117.04,119.41,122.69,110.06
U011606_0070,_001,90.73,,57.12,42.65
U011606_0070,_002,90.28,,58.07,43.24
U011608_0090,_001,89.80,,59.78,43.87
U011608_0090,_002,90.20,,59.44,44.77
U021606_0140,_001,92.87,,82.47,62.75
U021606_0140,_002,93.75,,88.12,62.07
U021608_0190,_001,91.03,,86.36,65.74
U021608_0190,_002,91.01,,86.58,66.02
U041606_0280,_001,99.00,,107.03,84.01
U041606_0280,_002,98.21,,104.20,83.87
U041608_0380,_001,93.52,,107.44,86.85
U041608_0380,_002,96.97,,106.80,88.56
U061606_0430,_001,103.55,,115.20,94.44
U061606_0430,_002,103.00,,113.97,97.15
U061608_0570,_001,99.14,,115.34,99.11
U061608_0570,_002,99.46,,116.57,98.92
U081606_0570,_001,108.65,,120.38,106.30
U081606_0570,_002,109.19,,119.79,102.63
U101606_0720,_001,113.37,,125.67,110.62
U101606_0720,_002,114.30,,124.56,109.55
